sequence,work_package_id,requirement_id,title,classification,priority,complexity,gate,depends_on,primary_operation_ids,contributing_operation_ids,semantic_event_types,producer_event_types,gate_required_test_ids,deferred_test_ids,e2e_ids,slice_count,maximum_slice_points,status
1,WP-DEMO-ENV-001,DEMO-ENV-001,Inicialização local,DEMO-MUST,P0,S,G1_FOUNDATION,,getLiveness; getReadiness,,,,TST-API-GET-LIVENESS-001; TST-API-GET-READINESS-001; TST-DEMO-ENV-001,,,2,3,READY_FOR_IMPLEMENTATION
2,WP-DEMO-ENV-003,DEMO-ENV-003,Bloqueio fora do modo demo,TECHNICAL-SUPPORT,P1,M,G1_FOUNDATION,WP-DEMO-ENV-001,,advanceDemoClock; createDemoSession; receiveDemoEmail; resetDemoScenario,,,TST-API-CREATE-DEMO-SESSION-001; TST-API-RESET-DEMO-SCENARIO-001,TST-API-ADVANCE-DEMO-CLOCK-001; TST-API-POLICY-001; TST-API-RECEIVE-DEMO-EMAIL-001; TST-DEMO-MODE-001,,2,2,READY_FOR_IMPLEMENTATION
3,WP-DEMO-DATA-003,DEMO-DATA-003,Exclusão de dados reais,TECHNICAL-SUPPORT,P1,L,G1_FOUNDATION,WP-DEMO-ENV-001; WP-DEMO-ENV-003,,,,,TST-DEMO-DATA-001; TST-DEMO-SEED-001,,,2,2,READY_FOR_IMPLEMENTATION
4,WP-DEMO-DATA-001,DEMO-DATA-001,Seed determinístico,TECHNICAL-SUPPORT,P1,XL,G1_FOUNDATION,WP-DEMO-DATA-003; WP-DEMO-ENV-001; WP-DEMO-ENV-003,,,,,TST-DEMO-SEED-001,TST-SM-CROSS-010,,2,2,READY_FOR_IMPLEMENTATION
5,WP-DEMO-IAM-001,DEMO-IAM-001,Seleção de identidade,DEMO-MUST,P0,L,G1_FOUNDATION,WP-DEMO-DATA-001; WP-DEMO-ENV-003,createDemoSession,deleteDemoSession; getCurrentSession,,,TST-API-CREATE-DEMO-SESSION-001; TST-API-DELETE-DEMO-SESSION-001; TST-API-GET-CURRENT-SESSION-001; TST-AUTH-SESSION-001; TST-AUTH-SESSION-003; TST-DATA-IAM-001; TST-DATA-RESET-005,TST-API-POLICY-001; TST-API-POLICY-007,,4,3,READY_FOR_IMPLEMENTATION
6,WP-DEMO-ENV-002,DEMO-ENV-002,Identificação visual da demo,DEMO-MUST,P0,S,G1_FOUNDATION,WP-DEMO-IAM-001,,,,,,TST-DEMO-BANNER-001,,2,2,READY_FOR_IMPLEMENTATION
7,WP-DEMO-IAM-002,DEMO-IAM-002,Sessão da demo,TECHNICAL-SUPPORT,P1,M,G1_FOUNDATION,WP-DEMO-IAM-001,deleteDemoSession; getCurrentSession,createDemoSession,,,TST-API-CREATE-DEMO-SESSION-001; TST-API-DELETE-DEMO-SESSION-001; TST-API-GET-CURRENT-SESSION-001; TST-AUTH-SESSION-003; TST-AUTH-SESSION-004; TST-DATA-IAM-002; TST-DATA-IAM-003,TST-API-POLICY-001; TST-API-POLICY-002; TST-API-POLICY-007; TST-AUTH-SESSION-005; TST-AUTH-SESSION-006,,4,3,READY_FOR_IMPLEMENTATION
8,WP-DEMO-IAM-003,DEMO-IAM-003,Autorização no servidor,TECHNICAL-SUPPORT,P1,L,G1_FOUNDATION,WP-DEMO-IAM-002,,advanceDemoClock; assignTask; cancelTask; closeVehicleStop; completeService; completeTask; confirmArrival; confirmConversationCaseLink; correctArrival; createTask; deleteDemoSession; getCaseOperationalView; getCaseTimeline; getCurrentSession; getDemoMetrics; getDemoReset; getDemoStatus; getStopOperationalView; getStopTimeline; issueDriverAccess; issueSupplierAccess; listCaseConversations; listCaseTasks; listStopDashboard; prepareStopForArrival; recordPhoneCall; releaseVehicle; reportArrivalInternal; resetDemoScenario; resolveCase; searchOperationalResources; startCaseWork; startService; startTask; waitCaseForSupplier; waitTaskForSupplier,,,TST-AUTH-SESSION-002; TST-DATA-IAM-001; TST-DATA-IAM-004,TST-AUTH-SCOPE-001; TST-AUTH-SCOPE-002; TST-AUTH-SCOPE-003; TST-AUTH-SCOPE-004; TST-AUTH-SCOPE-005; TST-AUTH-SCOPE-006; TST-AUTH-SCOPE-007,,2,2,READY_FOR_IMPLEMENTATION
9,WP-DEMO-AUDIT-001,DEMO-AUDIT-001,Auditoria mínima,TECHNICAL-SUPPORT,P1,S,G1_FOUNDATION,WP-DEMO-IAM-003,,advanceDemoClock; cancelTask; closeVehicleStop; confirmArrival; confirmDepartureExternal; correctArrival; createDemoSession; issueDriverAccess; issueSupplierAccess; resetDemoScenario; resolveCase,,,TST-AUDIT-003; TST-DATA-RESET-003,TST-AUDIT-001; TST-AUDIT-002; TST-AUTH-EXT-002,,2,2,READY_FOR_IMPLEMENTATION
10,WP-DEMO-IAM-004,DEMO-IAM-004,Separação do Demo Admin,TECHNICAL-SUPPORT,P1,M,G1_FOUNDATION,WP-DEMO-IAM-003,getDemoStatus,advanceDemoClock; resetDemoScenario,,,TST-API-GET-DEMO-STATUS-001; TST-API-RESET-DEMO-SCENARIO-001; TST-DATA-IAM-005,TST-API-ADVANCE-DEMO-CLOCK-001; TST-API-POLICY-001; TST-AUTH-SESSION-007,,4,3,READY_FOR_IMPLEMENTATION
