requirement_id,title,classification,work_package_id,gate,actors,ui_ids,commands,operation_ids,operation_sets,permissions_or_capabilities,tables,events,event_sets,test_ids,e2e_ids,status
DEMO-ENV-001,Inicialização local,DEMO-MUST,WP-DEMO-ENV-001,G1_FOUNDATION,SYSTEM_DEMO_MAINTENANCE,,,getLiveness; getReadiness,,,,,,TST-API-GET-LIVENESS-001; TST-API-GET-READINESS-001; TST-DEMO-ENV-001,,COMPLETE_V2.1.3
DEMO-ENV-002,Identificação visual da demo,DEMO-MUST,WP-DEMO-ENV-002,G1_FOUNDATION,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER; DEMO_ADMIN; EXTERNAL_SUPPLIER; EXTERNAL_DRIVER,UI-DEMO-SHELL; UI-DEMO-SUPPLIER; UI-DEMO-DRIVER,,,,,,,,TST-DEMO-BANNER-001,,COMPLETE_V2.1.3
DEMO-ENV-003,Bloqueio fora do modo demo,TECHNICAL-SUPPORT,WP-DEMO-ENV-003,G1_FOUNDATION,ANONYMOUS; DEMO_ADMIN; FAKE_EMAIL_ADAPTER,UI-DEMO-IDENTITY; UI-DEMO-ADMIN,,createDemoSession; advanceDemoClock; resetDemoScenario; receiveDemoEmail,,DEMO_MODE guard,,,,TST-API-ADVANCE-DEMO-CLOCK-001; TST-API-CREATE-DEMO-SESSION-001; TST-API-POLICY-001; TST-API-RECEIVE-DEMO-EMAIL-001; TST-API-RESET-DEMO-SCENARIO-001; TST-DEMO-MODE-001,,COMPLETE_V2.1.3
DEMO-DATA-001,Seed determinístico,TECHNICAL-SUPPORT,WP-DEMO-DATA-001,G1_FOUNDATION,SYSTEM_DEMO_MAINTENANCE,,,,,,demo_seed_manifest; demo_scenario; operating_unit; team; app_user; customer; vehicle; driver; supplier; case_record; vehicle_stop,,,TST-DEMO-SEED-001; TST-SM-CROSS-010,,COMPLETE_V2.1.3
DEMO-DATA-002,Reset determinístico,DEMO-MUST,WP-DEMO-DATA-002,G1_FOUNDATION,DEMO_ADMIN; SYSTEM_DEMO_MAINTENANCE,UI-DEMO-ADMIN,ResetDemoScenario,resetDemoScenario; getDemoReset,,demo.reset; demo.read_status,demo_reset_execution; demo_clock; demo_seed_manifest; demo_generation; demo_runtime_control; worker_lease,DemoResetRequested,,TST-API-GET-DEMO-RESET-001; TST-API-POLICY-001; TST-API-POLICY-009; TST-API-RESET-DEMO-SCENARIO-001; TST-AUDIT-003; TST-DATA-RESET-001; TST-DATA-RESET-002; TST-DATA-RESET-003; TST-DATA-RESET-004; TST-DATA-RESET-005; TST-DEMO-RESET-001; TST-EVT-CONTRACT-011,E2E-DEMO-000,COMPLETE_V2.1.3
DEMO-DATA-003,Exclusão de dados reais,TECHNICAL-SUPPORT,WP-DEMO-DATA-003,G1_FOUNDATION,SYSTEM_DEMO_MAINTENANCE,,,,,,app_user; customer; vehicle; vehicle_registration; driver; supplier; conversation; communication; phone_call,,,TST-DEMO-DATA-001; TST-DEMO-SEED-001,,COMPLETE_V2.1.3
DEMO-IAM-001,Seleção de identidade,DEMO-MUST,WP-DEMO-IAM-001,G1_FOUNDATION,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER; DEMO_ADMIN,UI-DEMO-IDENTITY; UI-DEMO-SHELL,,createDemoSession; deleteDemoSession; getCurrentSession,,,app_user; role; permission; role_permission; user_role; demo_internal_session,,,TST-API-CREATE-DEMO-SESSION-001; TST-API-DELETE-DEMO-SESSION-001; TST-API-GET-CURRENT-SESSION-001; TST-API-POLICY-001; TST-API-POLICY-007; TST-AUTH-SESSION-001; TST-AUTH-SESSION-003; TST-DATA-IAM-001; TST-DATA-RESET-005,,COMPLETE_V2.1.3
DEMO-IAM-002,Sessão da demo,TECHNICAL-SUPPORT,WP-DEMO-IAM-002,G1_FOUNDATION,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER; DEMO_ADMIN,UI-DEMO-SHELL,,createDemoSession; deleteDemoSession; getCurrentSession,,session.read,demo_internal_session,,,TST-API-CREATE-DEMO-SESSION-001; TST-API-DELETE-DEMO-SESSION-001; TST-API-GET-CURRENT-SESSION-001; TST-API-POLICY-001; TST-API-POLICY-002; TST-API-POLICY-007; TST-AUTH-SESSION-003; TST-AUTH-SESSION-004; TST-AUTH-SESSION-005; TST-AUTH-SESSION-006; TST-DATA-IAM-002; TST-DATA-IAM-003,,COMPLETE_V2.1.3
DEMO-IAM-003,Autorização no servidor,TECHNICAL-SUPPORT,WP-DEMO-IAM-003,G1_FOUNDATION,DEMO_ATTENDANT; DEMO_OPERATIONS_ANALYST; DEMO_SUPERVISOR; DEMO_MANAGER; DEMO_ADMIN,,,,SET-API-INTERNAL-PROTECTED,all x-permission policies,user_operating_unit_scope; user_customer_scope; team_member; role_permission,,,TST-AUTH-SCOPE-001; TST-AUTH-SCOPE-002; TST-AUTH-SCOPE-003; TST-AUTH-SCOPE-004; TST-AUTH-SCOPE-005; TST-AUTH-SCOPE-006; TST-AUTH-SCOPE-007; TST-AUTH-SESSION-002; TST-DATA-IAM-001; TST-DATA-IAM-004,,COMPLETE_V2.1.3
DEMO-IAM-004,Separação do Demo Admin,TECHNICAL-SUPPORT,WP-DEMO-IAM-004,G1_FOUNDATION,DEMO_ADMIN,UI-DEMO-ADMIN,,getDemoStatus; advanceDemoClock; resetDemoScenario,,demo.read_status; demo.advance_clock; demo.reset,role_permission; user_role; user_operating_unit_scope; user_customer_scope,,,TST-API-ADVANCE-DEMO-CLOCK-001; TST-API-GET-DEMO-STATUS-001; TST-API-POLICY-001; TST-API-RESET-DEMO-SCENARIO-001; TST-AUTH-SESSION-007; TST-DATA-IAM-005,,COMPLETE_V2.1.3
